Time (s),W,X,Y,Z
14.668479443,0.9727953,-0.004741188,-0.01981609,0.2233424
14.688221455,0.9729199,-0.004705791,-0.01967357,0.2228123
14.707967281,0.9730126,-0.004948216,-0.01966321,0.2224026
14.727715969,0.9731177,-0.005459717,-0.01949748,0.2219454
14.747459888,0.9732871,-0.005359092,-0.01951151,0.2212022
14.769673824,0.9734743,-0.005225131,-0.01922572,0.2204049
14.789419651,0.9736059,-0.005285889,-0.01892135,0.2198483
14.809165955,0.9737669,-0.005273937,-0.01897808,0.2191295
14.828911781,0.9738393,-0.005605562,-0.01911423,0.2187872
14.848653793,0.973904,-0.005838387,-0.01927494,0.2184792
14.868400574,0.9740243,-0.005658747,-0.01927598,0.2179466
14.888146400,0.9741383,-0.005595616,-0.01948457,0.21742
14.907892227,0.974265,-0.005688226,-0.01964069,0.2168346
14.927638054,0.9743978,-0.005759225,-0.02008192,0.2161943
14.949852467,0.9745367,-0.005931365,-0.02060904,0.2155128
14.969601631,0.9747425,-0.005693928,-0.02078589,0.2145698
14.989345074,0.974979,-0.005337115,-0.02071558,0.2135085
15.009092331,0.9751709,-0.005350456,-0.02045468,0.2126557
15.028836727,0.9752766,-0.00569942,-0.02083104,0.2121242
15.048578739,0.9753894,-0.00593637,-0.02119862,0.2115622
15.068324566,0.9755461,-0.006035737,-0.02138901,0.2108163
15.088070869,0.9758069,-0.00567987,-0.02129291,0.2096256
15.107816696,0.9760038,-0.005687458,-0.02140858,0.2086951
15.127562523,0.9761977,-0.005739593,-0.02122891,0.2078035
15.149777412,0.9763485,-0.006020332,-0.02166521,0.2070407
15.169523239,0.9764799,-0.006173723,-0.0218612,0.2063944
15.189269066,0.9767114,-0.006181211,-0.021682,0.205315
15.209014892,0.976923,-0.006113015,-0.02148731,0.2043279
15.228761196,0.9771429,-0.005710691,-0.02078609,0.2033586
15.248503208,0.9772168,-0.006123971,-0.02011113,0.2030593
15.268249035,0.9772967,-0.00627276,-0.02042004,0.2026386
15.287995815,0.9774783,-0.006163246,-0.02018518,0.201788
15.307743549,0.9776756,-0.006282985,-0.01983432,0.2008616
15.327487469,0.9778489,-0.006428218,-0.02005399,0.199989
15.349701404,0.9780179,-0.006492915,-0.01991595,0.1991732
15.369447708,0.978112,-0.006654343,-0.01993712,0.1987028
15.389193535,0.9782569,-0.006587785,-0.01992635,0.1979913
15.408940315,0.9783701,-0.006550352,-0.01988894,0.1974365
15.428686142,0.9785324,-0.006174823,-0.01962302,0.1966695
15.448428154,0.9786632,-0.006115999,-0.01947949,0.1960333
15.468173981,0.9788256,-0.005928953,-0.01909204,0.1952652
15.487919807,0.9789987,-0.005892905,-0.01921895,0.194384
15.507666111,0.9792139,-0.005940196,-0.01906229,0.1933114
