Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.279579162,-0.3601574,-2.510943,-0.2003114,0.6677436,-0.3059259,-0.7103471,-35.13578,23.85241,15.52599,1029.038
0.282042980,-0.3601574,-2.806309,-0.0781662,0.6750781,-0.3068429,-0.7118599,-35.13578,23.85241,15.52599,1029.038
0.284506798,-0.2369405,-2.570016,0.043979,0.6744686,-0.2999627,-0.716575,-35.13578,23.85241,15.52599,1029.038
0.286971092,-0.05211511,-2.570016,0.043979,0.6647758,-0.3039787,-0.7117389,-35.13578,23.85241,15.52599,1029.038
0.289434910,0.009493358,-2.629089,0.043979,0.6535066,-0.2972793,-0.7024508,-35.13578,23.85241,15.52599,1029.038
0.291898727,0.07110181,-2.629089,-0.0781662,0.6622599,-0.2957226,-0.7063468,-35.13578,23.85241,15.52599,1029.038
0.294363022,0.1943187,-2.806309,-0.3224566,0.6696416,-0.301993,-0.7112787,-35.13578,23.85241,15.52599,1029.035
0.296826839,-0.05211511,-2.747236,-0.5056744,0.6712246,-0.312234,-0.7138065,-35.13578,23.85241,15.52599,1029.035
0.299290657,0.2559272,-2.747236,-0.3835292,0.6721675,-0.3092969,-0.7133018,-35.13578,23.85241,15.52599,1029.035
0.301754951,0.3791441,-2.865382,-0.3835292,0.6622308,-0.2961708,-0.7116292,-35.13578,23.85241,15.52599,1029.035
0.304218769,0.07110181,-2.688163,-0.261384,0.6579092,-0.2962898,-0.7000787,-35.13578,23.85241,15.52599,1029.035
0.306682587,-0.1137236,-2.747236,-0.3224566,0.6579061,-0.2958045,-0.6995934,-35.13578,23.85241,15.52599,1029.035
0.309146881,-0.175332,-2.865382,-0.2003114,0.6692166,-0.3044786,-0.7065052,-34.76824,23.84651,15.97162,1029.035
0.311610699,-0.175332,-2.924455,-0.1392388,0.6623517,-0.3025727,-0.7059449,-34.76824,23.84651,15.97162,1029.035
0.316538811,0.1327103,-2.747236,-0.0781662,0.6613132,-0.3010641,-0.7121561,-34.76824,23.84651,15.97162,1029.035
0.319002628,0.1943187,-2.924455,-0.261384,0.6529342,-0.2967045,-0.713954,-34.76824,23.84651,15.97162,1029.035
0.321466923,0.5023611,-2.865382,-0.566747,0.6515155,-0.2991782,-0.7115707,-34.76824,23.84651,15.97162,1029.035
0.323930740,0.3175357,-2.983528,-0.566747,0.6607415,-0.2975996,-0.7178695,-34.76824,23.84651,15.97162,1029.035
0.326394558,0.4407526,-2.865382,-0.5056744,0.6662422,-0.303487,-0.7107865,-34.76824,23.84651,15.97162,1029.035
0.328858852,0.4407526,-2.924455,-0.5056744,0.6646925,-0.3019558,-0.7203513,-34.76824,23.84651,15.97162,1029.035
0.331322670,0.3791441,-2.806309,-0.3224566,0.6608273,-0.3025159,-0.7145671,-34.76824,23.84651,15.97162,1029.035
0.333786487,0.3175357,-2.924455,-0.3224566,0.6553565,-0.292809,-0.7096131,-34.76824,23.84651,15.97162,1029.038
0.336250782,0.2559272,-2.983528,-0.3224566,0.6559082,-0.2986592,-0.7116027,-34.76824,23.84651,15.97162,1029.038
0.338714599,0.009493358,-2.865382,-0.3224566,0.6579331,-0.3035436,-0.7107156,-34.76824,23.84651,15.97162,1029.038
0.341178417,0.009493358,-3.042601,-0.3224566,0.6648358,-0.3088653,-0.7122742,-34.76824,23.84651,15.97162,1029.038
0.343642711,0.1943187,-2.983528,-0.3224566,0.6618626,-0.3040209,-0.7088357,-34.76824,23.84651,15.97162,1029.038
0.346106529,0.3175357,-2.865382,-0.3835292,0.6603256,-0.3025044,-0.7164817,-34.76824,23.84651,15.97162,1029.038
0.348570347,0.3791441,-2.983528,-0.4446018,0.6490739,-0.3030515,-0.7187898,-34.76824,23.84651,15.97162,1029.038
0.351034641,0.3175357,-2.806309,-0.6278196,0.6573913,-0.2967413,-0.7053568,-34.76824,23.84651,15.97162,1029.038
0.353498459,0.3791441,-3.042601,-0.6888922,0.662303,-0.3034803,-0.7150705,-34.76824,23.84651,15.97162,1029.038
0.355962276,0.3175357,-3.160748,-0.8110374,0.6657179,-0.3039312,-0.717024,-34.76824,23.84651,15.97162,1029.038
0.358426571,0.5023611,-3.042601,-0.6888922,0.663227,-0.2985945,-0.7135841,-35.50233,24.59275,15.97029,1029.038
