Time (s),W,X,Y,Z
4.431714535,-0.3640972,-0.3580089,-0.8576443,0.01835361
4.451426506,-0.3637222,-0.3579754,-0.8578135,0.01852704
4.471134186,-0.3634099,-0.3579686,-0.8579459,0.01866134
4.490846157,-0.3631276,-0.3579013,-0.8580906,0.01879273
4.510558605,-0.3628728,-0.357754,-0.8582556,0.01898856
4.530270576,-0.3626515,-0.357618,-0.8584019,0.01915938
4.549982548,-0.362496,-0.3574706,-0.8585256,0.01930549
4.569698334,-0.3623853,-0.3573326,-0.8586268,0.01944254
4.591869831,-0.3623255,-0.3573231,-0.8586546,0.01950046
4.611581802,-0.3623434,-0.3575061,-0.8585731,0.01941109
4.631293774,-0.3624029,-0.3577024,-0.8584683,0.01931382
4.651005745,-0.3625235,-0.3578402,-0.8583617,0.01923148
4.670714378,-0.3627034,-0.3579682,-0.8582343,0.01914246
4.690425873,-0.3629398,-0.3580628,-0.8580971,0.01904418
4.710137844,-0.3632556,-0.3581341,-0.8579366,0.01890987
4.729849815,-0.3636615,-0.3582045,-0.857739,0.01874064
4.749561787,-0.3641346,-0.3582254,-0.8575326,0.01859801
4.771737575,-0.3647349,-0.3582542,-0.85727,0.01839035
4.791449070,-0.3652915,-0.3582905,-0.8570225,0.01816976
4.811161041,-0.3658865,-0.358309,-0.856766,0.01792627
4.830873013,-0.3664941,-0.3583493,-0.8564945,0.01767725
4.850585461,-0.3671171,-0.358466,-0.8561848,0.0173886
4.870293140,-0.3677179,-0.3586114,-0.8558727,0.0170577
4.890005112,-0.3682978,-0.3586895,-0.8555958,0.01679307
4.909717083,-0.3688256,-0.3586375,-0.8553938,0.01661988
4.929429054,-0.369377,-0.3586054,-0.8551737,0.01638381
4.951604843,-0.3699362,-0.3587913,-0.8548615,0.01599029
4.971316814,-0.3702988,-0.3590067,-0.8546188,0.01573064
4.991029263,-0.3705086,-0.3591672,-0.8544639,0.01553292
5.010740757,-0.3705772,-0.3592646,-0.854395,0.01544488
5.030452728,-0.3705361,-0.3592932,-0.8544004,0.01546587
5.050164699,-0.3703853,-0.3590355,-0.8545681,0.01578409
5.069872379,-0.3704184,-0.3584532,-0.8547899,0.01623559
5.089584350,-0.3709051,-0.3576375,-0.8549135,0.01659195
5.111760139,-0.3721005,-0.3567179,-0.8547756,0.01672814
5.131472111,-0.3739421,-0.3561435,-0.8542124,0.016676
5.151184559,-0.376892,-0.3561052,-0.8529423,0.01608401
5.170896530,-0.3812518,-0.3567205,-0.8507744,0.01442956
5.190608501,-0.3883655,-0.357099,-0.8474343,0.01163407
5.210319996,-0.3975874,-0.3562015,-0.8435709,0.007787982
5.230037212,-0.4058391,-0.3569619,-0.8393436,0.001702813
5.249743938,-0.4114566,-0.3569737,-0.8365995,-0.001532351
5.269453049,-0.415768,-0.3560982,-0.8348371,-0.002375848
5.291628361,-0.4217461,-0.3551762,-0.832222,-0.00376807
5.311340332,-0.4289781,-0.3553075,-0.8284385,-0.007205036
5.331053734,-0.4363378,-0.3557037,-0.8243789,-0.01053968
5.350763798,-0.4436392,-0.3560688,-0.8202797,-0.01296402
5.370475769,-0.4508425,-0.3560365,-0.8163174,-0.01525277
5.390187740,-0.4589297,-0.3563267,-0.811595,-0.01887178
5.409899235,-0.4682903,-0.3564418,-0.8060823,-0.02263524
5.429611683,-0.4789276,-0.3566986,-0.7995479,-0.02730156
5.451787948,-0.4916252,-0.3573616,-0.7912579,-0.03370399
5.471495628,-0.50349,-0.3579854,-0.7832022,-0.03957744
5.491207600,-0.5163379,-0.3585277,-0.7741902,-0.04593454
5.510919094,-0.5302795,-0.3588004,-0.7641319,-0.0528778
5.530631065,-0.5452048,-0.3590119,-0.7528813,-0.06049377
5.550343513,-0.5612978,-0.3588066,-0.7403535,-0.06860574
5.570055485,-0.5789607,-0.3580002,-0.7261649,-0.07715244
5.589767456,-0.598428,-0.356488,-0.7098931,-0.08648487
5.609479427,-0.6193306,-0.3540616,-0.6916785,-0.09632526
5.631655216,-0.6444424,-0.3506089,-0.6682848,-0.1085836
5.651367187,-0.6681203,-0.3468235,-0.6445795,-0.1203062
5.671074867,-0.6924652,-0.3424895,-0.6181155,-0.1332428
5.710499287,-0.7445757,-0.3300286,-0.5542011,-0.1617926
5.730211258,-0.7719864,-0.3216885,-0.5153414,-0.1777753
5.749922752,-0.7971411,-0.3112907,-0.4759645,-0.1942923
5.769634724,-0.8175148,-0.3049834,-0.4359989,-0.2125731
5.791810512,-0.8418297,-0.2905326,-0.3888835,-0.2287152
5.811522484,-0.8632657,-0.2789592,-0.3376994,-0.2440097
5.831238747,-0.8841605,-0.2624995,-0.2785128,-0.2615574
5.850946903,-0.9017975,-0.2430058,-0.2151497,-0.2793698
5.870654583,-0.9127044,-0.2236114,-0.1540604,-0.2997687
5.890366554,-0.9206823,-0.2054891,-0.09592278,-0.3123215
5.910078526,-0.9245422,-0.1882087,-0.03964576,-0.3238131
5.929790020,-0.924704,-0.1670589,0.01900319,-0.3365711
5.949502945,-0.9205754,-0.1436406,0.0788166,-0.3497477
5.971678734,-0.9119633,-0.117863,0.1436152,-0.3611558
5.991458893,-0.9018365,-0.09689681,0.1949567,-0.3686749
6.011170864,-0.8894141,-0.07660095,0.2405455,-0.3766169
6.030883312,-0.8755942,-0.05757454,0.2831913,-0.3826881
6.050595283,-0.8607219,-0.03969884,0.3240903,-0.3862316
6.070306778,-0.8428356,-0.02007185,0.3658819,-0.3898503
6.090014934,-0.8222146,0.001570505,0.4074823,-0.3931238
6.109726906,-0.8008816,0.02228663,0.4464203,-0.3942444
6.131902695,-0.7753616,0.04538573,0.4873121,-0.394853
6.151615143,-0.7516853,0.06519927,0.5217932,-0.3937989
6.171327114,-0.7271721,0.08422499,0.5546459,-0.3913085
6.191039085,-0.7008534,0.1038376,0.5861678,-0.3886608
6.210751056,-0.6736068,0.1231221,0.6163465,-0.3844989
6.230462551,-0.6454465,0.1422542,0.6446205,-0.3798084
6.250174999,-0.6167794,0.1609949,0.6708087,-0.3745759
6.269883156,-0.5882626,0.179254,0.6943744,-0.3691705
6.289595127,-0.5602444,0.1961489,0.7154481,-0.3638864
6.311770916,-0.5294334,0.2114717,0.7376382,-0.3570678
6.331482410,-0.5011725,0.2245289,0.7563109,-0.3507626
6.351194382,-0.4729983,0.2365941,0.7739133,-0.3434848
6.370906830,-0.4414696,0.2504289,0.7920389,-0.3342034
6.390618801,-0.4072398,0.2635773,0.8101893,-0.3238883
6.410330772,-0.3704447,0.2760067,0.8279564,-0.3125809
6.430042744,-0.3309551,0.2898044,0.8445156,-0.2998385
6.449754238,-0.2882424,0.304147,0.8600934,-0.2850924
6.469464302,-0.2407682,0.3194834,0.8746214,-0.2676302
6.491638660,-0.1839903,0.3377899,0.8876159,-0.2465992
6.511350632,-0.1257292,0.3550088,0.8970917,-0.2236398
6.531062603,-0.06212511,0.3758683,0.9012288,-0.1981855
6.550774574,0.003572573,0.3977986,0.899658,-0.170253
6.570486069,0.0668252,0.4171705,0.8933998,-0.1413056
6.590198040,0.1286333,0.4260769,0.8863868,-0.1133925
6.609910488,0.19251,0.436956,0.8727924,-0.08288635
6.629622459,0.262004,0.4430593,0.8539518,-0.04945907
6.651798248,0.3411472,0.4488794,0.8238398,-0.006418021
6.671505928,0.4085586,0.4493485,0.7916296,0.03340244
6.691217899,0.4713004,0.4468973,0.7547387,0.07180262
6.710930347,0.529498,0.4417418,0.7135985,0.10909
6.730642319,0.5831555,0.4336968,0.6690583,0.1443087
6.750354290,0.6315838,0.4237688,0.621749,0.1777006
6.770066261,0.6765409,0.4104183,0.5713409,0.2098721
6.789777756,0.7168592,0.3960795,0.5173596,0.2412476
6.809494972,0.7528161,0.3787712,0.4622447,0.2697358
6.831666470,0.7878545,0.3574395,0.3987579,0.2985664
6.851377964,0.814566,0.3363344,0.341228,0.3217953
6.871086121,0.8374988,0.3129703,0.2812655,0.3437477
6.890798092,0.8556477,0.2881834,0.2194887,0.3650608
6.910509586,0.869242,0.2616026,0.1566128,0.3848148
6.930222034,0.87795,0.2340865,0.09371243,0.4028061
6.949934006,0.8818471,0.2056454,0.03006496,0.4192601
6.969650745,0.8822857,0.1768632,-0.03254692,0.4311141
6.991940975,0.8764389,0.1422061,-0.1039598,0.444356
7.011652946,0.8661368,0.1092086,-0.1679647,0.4541979
7.031364918,0.8505446,0.07505162,-0.2315313,0.46256
7.051076889,0.830408,0.04004629,-0.2935934,0.4682403
7.070789814,0.8063518,0.004519623,-0.3542722,0.4699945
7.090496540,0.7763747,-0.03310473,-0.4133532,0.4710763
7.110208034,0.7418296,-0.07103644,-0.4710065,0.468426
7.129920959,0.7033165,-0.1083223,-0.5250472,0.4632114
7.149632454,0.6605744,-0.1455461,-0.5761784,0.4550864
7.171808243,0.608192,-0.1869431,-0.6300263,0.4414169
7.191520214,0.557774,-0.2228523,-0.6737978,0.4264373
7.211232662,0.5046942,-0.257354,-0.7130947,0.4088718
