Time (s),W,X,Y,Z
5.395184994,0.9334203,-0.1934925,-0.09862543,0.279621
5.415038109,0.9323083,-0.1965448,-0.1118495,0.2762043
5.434891701,0.9308081,-0.2000409,-0.1264126,0.2724472
5.454745293,0.928607,-0.2043679,-0.1426325,0.2687123
5.474598884,0.9257575,-0.209184,-0.1605274,0.2647144
5.494452000,0.9222808,-0.2142341,-0.1798501,0.2603525
5.514306068,0.9181665,-0.2196141,-0.2007382,0.2550912
5.534159183,0.9129284,-0.2256786,-0.223641,0.2494861
5.554013252,0.906617,-0.2320768,-0.2481412,0.2433914
5.573866367,0.8992352,-0.2385476,-0.2742835,0.2363625
5.593720436,0.890413,-0.2453356,-0.3020969,0.2287799
5.613573551,0.880127,-0.2522824,-0.3314385,0.2202414
5.633427620,0.8678767,-0.2598929,-0.3625016,0.2108697
5.653280735,0.8538414,-0.2668463,-0.3954089,0.2000684
5.675615787,0.8352047,-0.2745973,-0.4348292,0.1859583
5.695469856,0.8152078,-0.281051,-0.472738,0.1720259
5.715326786,0.7904736,-0.2904077,-0.5124053,0.1577444
5.735177040,0.7604077,-0.3022484,-0.5532176,0.1449268
5.755030155,0.7308322,-0.3098811,-0.5913672,0.1295
5.774883747,0.6996562,-0.3141893,-0.6290622,0.1125808
5.794738293,0.6632829,-0.3198739,-0.6674486,0.0942151
5.814590931,0.6204376,-0.323201,-0.7083963,0.07348851
5.834444046,0.5706125,-0.330045,-0.748019,0.05066073
5.854298115,0.5174672,-0.3377262,-0.7835963,0.02780047
5.874151230,0.4631665,-0.3440082,-0.814701,0.004995423
5.894005299,0.4066401,-0.349181,-0.8420376,-0.01779454
5.913858414,0.3504332,-0.350532,-0.8656036,-0.04101062
5.933712482,0.2946464,-0.3496483,-0.8851091,-0.06433426
5.953565598,0.2367842,-0.3489098,-0.9006396,-0.08758464
5.973419666,0.1793515,-0.3485681,-0.911518,-0.1099806
5.993272781,0.1262299,-0.3483271,-0.9177377,-0.130841
6.015607834,0.07065315,-0.3469406,-0.9206966,-0.1535759
6.035461902,0.02345559,-0.3435153,-0.9210538,-0.1724372
6.055315017,-0.02375927,-0.3375584,-0.9197472,-0.1902171
6.075169086,-0.0708927,-0.3317833,-0.9154312,-0.2085842
6.095022201,-0.1162685,-0.3253235,-0.9089115,-0.2261722
6.114875793,-0.1590774,-0.3184731,-0.9003651,-0.2433922
6.134729862,-0.1994548,-0.3103125,-0.8907774,-0.2589731
6.154585838,-0.2380052,-0.3013577,-0.8798796,-0.2738185
6.174436569,-0.2751528,-0.2914323,-0.867995,-0.2873507
6.194290161,-0.3108464,-0.2820498,-0.8543286,-0.3009529
6.214148998,-0.3455488,-0.2709789,-0.8400619,-0.313193
6.233997345,-0.3783178,-0.2606989,-0.8244513,-0.3252988
6.253851414,-0.4101324,-0.2488144,-0.8086302,-0.3356004
6.273704529,-0.4413537,-0.2368201,-0.7914011,-0.3455936
6.293558121,-0.4719871,-0.2247518,-0.7726505,-0.3554626
6.313413620,-0.5037132,-0.2113059,-0.752466,-0.3633803
6.333265304,-0.536437,-0.1973139,-0.7296811,-0.370804
6.355600834,-0.5733287,-0.1805401,-0.700595,-0.3801232
6.375453949,-0.6047498,-0.164265,-0.6730444,-0.3885016
6.395307541,-0.6367291,-0.1470523,-0.6431445,-0.3948979
6.415161133,-0.6689777,-0.1281759,-0.6103199,-0.4002211
6.435014725,-0.7009977,-0.1077494,-0.5736905,-0.4055848
6.454868317,-0.7328367,-0.08581503,-0.5324081,-0.4107984
6.474721908,-0.7636877,-0.06269704,-0.4867868,-0.4153509
6.494575024,-0.7944176,-0.03665995,-0.4383196,-0.4148015
6.514429092,-0.8240052,-0.009201713,-0.3823396,-0.4139739
6.534282207,-0.8509551,0.01971709,-0.3205388,-0.4115446
6.554136276,-0.8728269,0.04998893,-0.2520462,-0.4108216
