Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.449183941,-0.1022803,-4.478142,0.6360862,-0.1752402,0.3169823,0.9524406,24.85837,-2.838697,-41.27954,1028.929
0.451665401,-0.1022803,-4.418688,0.5750765,-0.1781775,0.317448,0.947647,24.85837,-2.838697,-41.27954,1028.929
0.454147339,-0.1022803,-4.537596,0.6970958,-0.1781737,0.3189335,0.9519789,24.85837,-2.838697,-41.27954,1028.929
0.456628799,-0.2254885,-4.656504,0.6970958,-0.1791497,0.3189419,0.9529399,24.85837,-2.838697,-41.27954,1028.929
0.459110737,-0.1022803,-4.59705,0.6970958,-0.1791441,0.3150607,0.9548281,24.85837,-2.838697,-41.27954,1028.929
0.461592674,-0.04067625,-4.418688,0.6360862,-0.1796309,0.3189805,0.9591805,24.85837,-2.838697,-41.27954,1028.929
0.464074135,-0.2254885,-4.775411,0.7581053,-0.1762175,0.3184504,0.9534134,24.85837,-2.838697,-41.27954,1028.929
0.466556072,-0.1022803,-4.656504,0.8801246,-0.1771934,0.3184587,0.9543744,24.85837,-2.838697,-41.27954,1028.929
0.469037533,-0.04067625,-4.59705,0.8191149,-0.1776859,0.3203949,0.9524705,24.85837,-2.838697,-41.27954,1028.929
0.471519470,-0.2870926,-4.478142,0.6360862,-0.1801136,0.3199894,0.9649491,24.85837,-2.838697,-41.27954,1028.929
0.474000454,-0.2870926,-4.59705,0.3920478,-0.182063,0.3151316,0.965391,24.85837,-2.838697,-41.27954,1028.929
0.476482868,-0.2870926,-4.715958,0.5750765,-0.1762117,0.3189685,0.9586977,24.85837,-2.838697,-41.27954,1028.924
0.478963852,-0.2254885,-4.59705,0.7581053,-0.1781697,0.3174881,0.9543672,24.85837,-2.838697,-41.27954,1028.924
0.481445789,-0.3486967,-4.418688,0.6360862,-0.1811013,0.3140726,0.9514617,24.85837,-2.838697,-41.27954,1028.924
0.483927250,-0.1638844,-4.59705,0.5750765,-0.1772004,0.3194003,0.9491021,24.85837,-2.838697,-41.27954,1028.924
0.486409187,-0.2254885,-4.537596,0.7581053,-0.1796411,0.3184394,0.9500562,24.85837,-2.838697,-41.27954,1028.924
0.488890648,-0.2870926,-4.59705,0.6970958,-0.1786543,0.3135996,0.9548157,24.85837,-2.838697,-41.27954,1028.924
0.491372585,-0.1638844,-4.59705,0.6360862,-0.1771913,0.3160258,0.9543545,24.85837,-2.838697,-41.27954,1028.924
0.493854046,-0.1638844,-4.715958,0.7581053,-0.1757218,0.314087,0.9562573,24.84854,-0.5906861,-41.30068,1028.924
0.496335983,-0.1638844,-4.537596,0.7581053,-0.1781678,0.3140763,0.9533792,24.84854,-0.5906861,-41.30068,1028.924
0.498817921,-0.1022803,-4.478142,0.7581053,-0.1732862,0.3125777,0.9490431,24.84854,-0.5906861,-41.30068,1028.924
