Time (s),X (g),Y (g),Z (g)
29.589477539,0.01939143,0.05924117,-0.008883778
29.591959000,0.02326087,0.03478669,-0.07496299
29.594440460,0.02442183,0.01844369,-0.05980702
29.596922398,-0.003156772,-0.03087018,-0.06809325
29.599403381,0.04510717,0.04034445,-0.02359314
29.601885796,0.01598342,-0.03127992,0.06219158
29.604367733,0.02184496,-0.01167372,-0.03225669
29.606848717,0.04950538,0.1107472,-0.1214458
29.609330654,-0.01300337,-0.01651402,0.0484852
29.611813068,-0.01758723,-0.1138346,0.09893268
29.614294052,-0.02857105,0.104563,-0.05862648
29.616775989,0.05080761,0.1001641,-0.08330528
29.619257927,-0.01542006,-0.09914961,0.01439822
29.621739387,0.03467586,0.05906088,-0.02065159
29.624221325,0.04911641,0.00162655,-0.06734417
29.626705646,-0.04158569,-0.08509808,0.07171036
29.629184723,-0.002457824,-0.07239944,-0.04321869
29.631666660,-0.03148634,0.1113188,-0.06391686
29.634148121,0.003408477,-0.02403748,0.07628594
29.636630058,-0.05108251,-0.05184399,0.07222798
29.639111996,-0.006626669,0.1357794,-0.09975301
29.641593456,-0.08823318,0.1392896,0.002659284
29.644075394,-0.1318115,0.06785369,0.09526294
29.646557331,-0.07208059,0.04518839,-0.001175345
29.649038792,-0.05064774,-0.001579296,0.05122779
29.651522159,0.07351638,-0.1795985,0.03453725
29.654002666,0.02503569,-0.05734352,-0.01078786
29.656484127,0.1154691,-0.07130663,-0.02904333
29.658966064,0.003374219,-0.123907,0.009257881
29.661447048,0.02088578,0.06138898,-0.2215472
29.663929462,0.0397341,0.1109324,-0.1008205
29.666411400,0.01485047,-0.1800814,0.08838175
29.668892383,0.059683,-0.02440692,-0.03672964
29.671374321,0.08807606,-0.03975292,-0.08518246
29.673856735,0.08801657,-0.2516545,0.09626652
29.676337719,0.05068716,-0.1687846,-0.004006529
29.678819656,0.05250783,-0.02733274,-0.2341037
29.681301594,0.06932002,-0.07573051,-0.008200502
29.683783054,-0.005150169,-0.2817803,0.08658981
29.686264992,0.002518562,0.02823769,-0.09677252
29.688746452,-0.01422124,-0.04209124,0.03215503
29.691228390,-0.08176771,-0.2228832,0.1331902
29.693710327,-0.0370402,0.07121621,-0.05369047
29.696191788,-0.0427663,-0.02512119,-0.04643244
29.698673725,-0.03295755,-0.1075444,0.0436541
29.701157093,0.04280986,-0.03621609,-0.08940875
29.703641891,0.02862974,-0.007051581,-0.04996785
29.706119060,0.01025085,-0.139878,0.04219652
29.708600998,-0.0160396,-0.008973669,0.00243755
29.711082458,-0.04949941,0.03057075,0.0409601
29.713564396,-0.05346303,-0.07568,0.1163762
29.716045380,-0.09658981,0.01289121,-0.004605929
29.718527794,-0.02443563,0.05621229,-0.04618081
29.721009731,-0.07499333,-0.1005663,0.1059404
29.723490715,-0.06650017,-0.01900102,-0.03552089
29.725972652,-0.04622624,0.1222112,-0.06450783
29.728455067,-0.05584306,-0.06872036,0.02081092
29.730936050,-0.03386985,0.1294973,-0.063318
29.733417988,0.01416022,0.04678174,-0.04054102
29.735899925,0.004140917,-0.02738029,0.1263052
29.738381386,0.03230156,-0.00277211,0.05689899
29.740863323,-0.006210503,0.02875969,0.004761287
29.743345261,0.0004555141,-0.01500191,-0.0259538
29.745826721,0.003678314,0.01203957,-0.0129812
29.748308659,0.004895302,-0.00168282,-0.006092054
29.750790119,0.03627357,0.007498052,-0.1103262
